('Handmade Soft Pants', 'azure', '313.00', 103, true, '2017-08-08'),
('Rustic Granite Salad', 'black', '549.00', 213, true, '2017-08-08'),
('Small Steel Mouse', 'maroon', '360.00', 85, true, '2017-08-08'),
('Unbranded Concrete Pants', 'lime', '595.00', 349, true, '2017-08-08'),
('Practical Frozen Tuna', 'olive', '154.00', 2, false, '2017-08-08'),
('Awesome Wooden Tuna', 'cyan', '596.00', 98, true, '2017-08-08'),
('Generic Cotton Pants', 'lime', '408.00', 161, false, '2017-08-08'),
('Generic Plastic Fish', 'orange', '273.00', 535, false, '2017-08-08'),
('Practical Rubber Bacon', 'pink', '622.00', 847, false, '2017-08-08'),
('Gorgeous Fresh Chair', 'lime', '232.00', 340, false, '2017-08-08'),
('Handmade Steel Fish', 'blue', '273.00', 899, false, '2017-08-08'),
('Fantastic Wooden Tuna', 'ivory', '611.00', 623, true, '2017-08-08'),
('Awesome Plastic Chicken', 'orchid', '359.00', 446, true, '2017-08-08'),
('Fantastic Frozen Sausages', 'black', '456.00', 110, true, '2017-08-08'),
('Unbranded Frozen Shirt', 'azure', '159.00', 296, false, '2017-08-08'),
('Handcrafted Frozen Ball', 'maroon', '378.00', 43, true, '2017-08-08'),
('Tasty Metal Bike', 'gold', '975.00', 924, true, '2017-08-08'),
('Gorgeous Wooden Soap', 'red', '343.00', 238, false, '2017-08-08'),
('Generic Rubber Hat', 'fuchsia', '860.00', 289, false, '2017-08-08'),
('Handmade Metal Tuna', 'sky blue', '637.00', 212, true, '2017-08-08'),
('Handmade Frozen Chair', 'white', '115.00', 718, true, '2017-08-08'),
('Sleek Cotton Shirt', 'gold', '681.00', 222, false, '2017-08-08'),
('Gorgeous Rubber Car', 'mint green', '211.00', 524, false, '2017-08-08'),
('Rustic Wooden Keyboard', 'cyan', '412.00', 248, true, '2017-08-08'),
('Practical Soft Chair', 'tan', '715.00', 518, false, '2017-08-08'),
('Licensed Fresh Chair', 'lavender', '452.00', 560, false, '2017-08-08'),
('Ergonomic Granite Sausages', 'orchid', '432.00', 451, true, '2017-08-08'),
('Generic Granite Shirt', 'magenta', '549.00', 862, false, '2017-08-08'),
('Small Frozen Car', 'orchid', '84.00', 975, false, '2017-08-08'),
('Tasty Cotton Cheese', 'indigo', '176.00', 908, false, '2017-08-08'),
('Generic Granite Towels', 'sky blue', '763.00', 984, false, '2017-08-08'),
('Unbranded Plastic Cheese', 'orange', '668.00', 870, false, '2017-08-08'),
('Ergonomic Steel Gloves', 'fuchsia', '569.00', 96, false, '2017-08-08'),
('Rustic Metal Cheese', 'gold', '944.00', 82, false, '2017-08-08'),
('Gorgeous Granite Soap', 'orange', '198.00', 618, true, '2017-08-08'),
('Rustic Soft Fish', 'maroon', '759.00', 756, false, '2017-08-08'),
('Gorgeous Frozen Shirt', 'sky blue', '547.00', 747, false, '2017-08-08'),
('Small Metal Salad', 'mint green', '416.00', 896, false, '2017-08-08'),
('Handcrafted Rubber Hat', 'violet', '465.00', 818, false, '2017-08-08'),
('Sleek Steel Chicken', 'olive', '430.00', 151, false, '2017-08-08'),
('Sleek Metal Gloves', 'indigo', '271.00', 403, false, '2017-08-08'),
('Refined Granite Gloves', 'maroon', '643.00', 643, true, '2017-08-08'),
('Awesome Soft Bike', 'lime', '715.00', 756, false, '2017-08-08'),
('Gorgeous Granite Hat', 'turquoise', '942.00', 559, true, '2017-08-08'),
('Gorgeous Frozen Sausages', 'salmon', '357.00', 750, false, '2017-08-08'),
('Awesome Plastic Ball', 'blue', '143.00', 200, true, '2017-08-08'),
('Incredible Plastic Bacon', 'violet', '805.00', 360, false, '2017-08-08'),
('Ergonomic Fresh Shoes', 'mint green', '894.00', 760, false, '2017-08-08'),
('Awesome Fresh Bacon', 'red', '119.00', 764, false, '2017-08-08'),
('Handcrafted Steel Bike', 'yellow', '337.00', 108, false, '2017-08-08'),
('Unbranded Fresh Shirt', 'teal', '957.00', 822, false, '2017-08-08'),
('Fantastic Rubber Gloves', 'magenta', '884.00', 166, false, '2017-08-08'),
('Gorgeous Rubber Salad', 'violet', '806.00', 693, true, '2017-08-08'),
('Licensed Rubber Chair', 'tan', '480.00', 742, false, '2017-08-08'),
('Awesome Fresh Fish', 'purple', '951.00', 137, true, '2017-08-08'),
('Small Rubber Hat', 'olive', '677.00', 557, true, '2017-08-08'),
('Unbranded Metal Tuna', 'cyan', '227.00', 704, true, '2017-08-08'),
('Practical Cotton Soap', 'gold', '593.00', 2, true, '2017-08-08'),
('Fantastic Metal Car', 'turquoise', '142.00', 426, false, '2017-08-08'),
('Generic Cotton Pizza', 'ivory', '553.00', 144, false, '2017-08-08'),
('Handmade Metal Pants', 'blue', '427.00', 784, false, '2017-08-08'),
('Handmade Soft Towels', 'teal', '530.00', 484, true, '2017-08-08'),
('Intelligent Steel Pizza', 'red', '895.00', 327, true, '2017-08-08'),
('Handcrafted Rubber Bike', 'azure', '641.00', 213, true, '2017-08-08'),
('Gorgeous Steel Ball', 'mint green', '493.00', 156, true, '2017-08-08'),
('Refined Steel Gloves', 'lavender', '516.00', 342, true, '2017-08-08'),
('Rustic Fresh Sausages', 'red', '776.00', 564, false, '2017-08-08'),
('Gorgeous Cotton Shoes', 'yellow', '103.00', 229, false, '2017-08-08'),
('Incredible Concrete Shoes', 'white', '161.00', 728, false, '2017-08-08'),
('Tasty Steel Soap', 'lavender', '424.00', 740, true, '2017-08-08'),
('Handcrafted Fresh Towels', 'silver', '135.00', 521, false, '2017-08-08'),
('Refined Soft Keyboard', 'olive', '837.00', 53, true, '2017-08-08'),
('Practical Cotton Ball', 'orchid', '487.00', 437, false, '2017-08-08'),
('Incredible Rubber Pants', 'teal', '395.00', 922, false, '2017-08-08'),
('Tasty Fresh Tuna', 'ivory', '485.00', 431, false, '2017-08-08'),
('Incredible Soft Pizza', 'azure', '3.00', 106, false, '2017-08-08'),
('Practical Concrete Keyboard', 'magenta', '493.00', 317, false, '2017-08-08'),
('Ergonomic Fresh Shirt', 'sky blue', '250.00', 878, false, '2017-08-08'),
('Handmade Fresh Shoes', 'red', '240.00', 473, false, '2017-08-08'),
('Handcrafted Frozen Mouse', 'magenta', '375.00', 218, true, '2017-08-08'),
('Handcrafted Wooden Hat', 'yellow', '170.00', 19, false, '2017-08-08'),
('Awesome Cotton Keyboard', 'violet', '489.00', 671, false, '2017-08-08'),
('Refined Frozen Bike', 'plum', '677.00', 545, true, '2017-08-08'),
('Generic Rubber Fish', 'yellow', '672.00', 923, false, '2017-08-08'),
('Generic Frozen Table', 'red', '566.00', 662, false, '2017-08-08'),
('Practical Concrete Fish', 'mint green', '642.00', 682, true, '2017-08-08'),
('Incredible Metal Car', 'white', '616.00', 239, true, '2017-08-08'),
('Sleek Steel Computer', 'azure', '254.00', 824, false, '2017-08-08'),
('Practical Steel Chicken', 'white', '894.00', 266, false, '2017-08-08'),
('Fantastic Granite Table', 'orchid', '498.00', 952, false, '2017-08-08'),
